PLAYER_NAME,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT
,,3,23.166666666666668,5,7,3,0,1,4,0.286,0.0,0.5
,,1,26.983333333333334,20,3,2,2,0,2,0.467,0.6,0.0
,,1,8.35,2,1,1,0,0,0,0.25,0.0,0.0
,,1,20.0,0,0,0,0,0,0,0.0,0.0,0.0
A'ja Wilson,27.0,40,1227.6633333333334,912,380,64,56,89,62,0.557,0.31,0.812
A.J. Lawson,23.0,47,440.8666666666667,199,75,25,22,4,20,0.461,0.257,0.711
AJ Green,24.0,59,645.2483333333333,265,66,30,11,4,12,0.422,0.409,0.913
AJ Green,24.0,1,27.25,12,3,3,0,0,1,0.4,0.571,0.0
AJ Griffin,20.0,22,219.43,66,30,9,2,2,12,0.286,0.269,1.0
AJ Griffin,20.0,6,163.08333333333334,85,26,8,8,3,9,0.432,0.4,0.667
Aamir Simms,25.0,3,63.46666666666667,28,13,4,1,1,1,0.556,0.444,1.0
Aari McDonald,25.0,24,564.705,189,48,73,15,0,39,0.402,0.321,0.762
Aaron Gordon,28.0,73,2296.81,1013,471,259,56,45,105,0.556,0.29,0.658
Aaron Holiday,27.0,78,1269.2966666666666,514,123,140,42,6,53,0.446,0.387,0.921
Aaron Nesmith,24.0,72,1994.655,877,275,108,65,49,64,0.496,0.419,0.781
Aaron Wiggins,25.0,78,1227.9383333333333,542,186,86,56,19,56,0.562,0.492,0.789
Abby Meyers,24.0,9,36.501666666666665,13,4,0,1,2,1,0.385,0.0,1.0
Abdul Gaddy,32.0,15,246.075,42,33,69,10,3,20,0.457,0.25,0.8
Abdullah Ahmed,20.0,21,426.18,121,144,9,5,27,22,0.475,0.308,0.519
Adam Flagler,24.0,30,774.1783333333333,423,98,100,22,3,26,0.443,0.406,0.95
Adam Flagler,24.0,2,14.016666666666667,3,0,4,0,0,0,0.143,0.167,0.0
Adam Kunkel,24.0,9,144.32833333333335,66,17,8,2,0,11,0.381,0.275,0.714
Adam Kunkel,24.0,2,26.016666666666666,15,1,0,1,0,1,0.455,0.556,0.0
Adam Seiko,26.0,1,3.25,3,0,0,1,0,0,1.0,1.0,0.0
Adama Sanogo,22.0,29,878.2133333333334,637,367,50,19,33,61,0.615,0.0,0.733
Adama Sanogo,22.0,14,157.76166666666666,87,78,4,8,5,8,0.597,0.0,0.542
Admiral Schofield,27.0,23,84.35833333333333,26,17,7,1,0,5,0.385,0.375,0.0
Admon Gilder,28.0,27,393.87166666666667,83,68,22,19,15,13,0.35,0.268,0.167
Adonis Arms,26.0,28,848.9866666666667,503,178,99,25,19,69,0.453,0.389,0.761
Adonis Arms,26.0,3,14.716666666666667,2,2,0,0,0,1,0.333,0.0,0.0
Aerial Powers,30.0,20,194.6,104,36,15,3,2,18,0.413,0.316,0.917
Ahmad Caver,27.0,2,20.0,5,0,5,1,0,3,0.4,0.0,0.5
Al Horford,38.0,65,1739.7966666666666,562,413,168,38,62,48,0.511,0.419,0.867
Alaina Coates,29.0,12,35.071666666666665,11,10,0,3,0,7,0.833,0.0,0.25
Alan Griffin,24.0,3,8.0,7,2,0,0,0,1,0.4,0.5,0.5
Alanna Smith,27.0,38,1006.955,349,249,68,49,50,56,0.498,0.294,0.679
Alec Burks,32.0,66,1211.545,689,150,88,28,12,48,0.369,0.376,0.868
Aleem Ford,26.0,33,952.68,373,132,44,26,18,38,0.395,0.33,0.724
Aleem Ford,26.0,4,48.89333333333333,19,5,0,1,0,3,0.313,0.267,0.833
Aleksej Pokusevski,22.0,28,405.3833333333333,146,89,35,15,13,19,0.405,0.327,0.732
Aleksej Pokusevski,22.0,3,87.95333333333333,37,12,15,8,1,12,0.5,0.2,0.333
Alex Antetokounmpo,22.0,18,381.55833333333334,103,53,11,8,7,22,0.32,0.196,0.714
Alex Caruso,30.0,71,2040.3433333333332,715,273,247,120,70,102,0.468,0.408,0.76
Alex Fudge,21.0,27,478.74666666666667,216,118,14,23,33,19,0.478,0.214,0.529
Alex Fudge,21.0,6,66.47333333333333,18,9,5,2,5,4,0.368,0.667,0.5
Alex Fudge,21.0,6,40.21666666666667,15,5,0,3,0,2,0.4,0.2,1.0
Alex Len,31.0,48,444.245,120,128,50,11,33,27,0.617,0.0,0.588
Alex Morales,26.0,34,846.48,329,174,130,41,10,60,0.521,0.293,0.537
Alex O'Connell,25.0,4,56.64666666666667,43,9,5,2,0,8,0.536,0.6,0.5
Alex Reese,25.0,32,599.9683333333334,421,158,27,22,47,35,0.442,0.415,0.786
Alexey Borges,28.0,19,509.6716666666667,166,49,120,31,4,38,0.447,0.342,0.583
Aliyah Boston,22.0,40,1249.0383333333334,578,335,89,53,50,75,0.578,0.4,0.745
Allisha Gray,29.0,38,1244.0916666666667,649,186,119,40,14,71,0.465,0.356,0.824
Alondes Williams,25.0,27,1028.17,587,147,198,33,18,115,0.522,0.379,0.766
Alondes Williams,25.0,12,120.32666666666667,37,10,7,1,1,8,0.414,0.357,0.889
Alperen Sengun,21.0,63,2045.635,1331,589,312,76,46,162,0.537,0.297,0.693
Alysha Clark,36.0,39,876.03,260,133,42,24,6,28,0.444,0.386,0.818
Alyssa Thomas,32.0,40,1445.51,619,394,316,73,19,137,0.474,0.0,0.715
Amanda Zahui B,30.0,34,253.285,57,38,10,6,18,15,0.257,0.162,0.75
Amar Sylla,22.0,3,26.883333333333333,6,13,3,1,0,1,0.5,0.0,0.0
Amari Bailey,20.0,23,748.23,443,115,108,28,16,75,0.446,0.42,0.679
Amari Bailey,20.0,17,180.28333333333333,88,33,13,9,2,20,0.402,0.25,0.72
Amauri Hardy,26.0,17,259.99666666666667,88,26,38,3,5,12,0.347,0.19,0.769
Amauri Hardy,26.0,2,30.683333333333334,11,2,3,1,0,2,0.313,0.143,0.0
Amen Thompson,21.0,63,1416.895,608,413,168,81,42,92,0.534,0.153,0.686
Amida Brimah,30.0,23,512.7566666666667,171,156,12,3,59,29,0.744,0.0,0.759
Aminu Mohammed,22.0,29,676.7666666666667,285,164,61,37,20,33,0.514,0.357,0.66
Aminu Mohammed,22.0,3,37.15,18,9,6,2,0,6,0.429,0.0,0.6
